1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
8,0,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,0,4
8,10,9,9,9,10,10,10,10,9,10,10,10,10,10,10,9,10,4
8,10,9,10,9,10,10,10,10,9,10,10,10,10,9,10,9,10,4
8,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,4
8,9,10,10,9,9,9,9,10,10,10,9,9,9,9,10,10,9,4
8,10,10,10,10,10,10,9,10,9,10,9,10,10,10,10,10,10,4
8,10,9,10,10,9,10,9,10,10,10,9,10,9,10,10,9,10,4
8,10,9,10,10,9,10,9,10,10,9,9,10,9,10,10,9,10,4
8,9,9,10,9,9,10,10,10,0,10,10,10,9,9,10,9,9,4
8,10,9,10,10,9,10,9,9,10,10,10,10,9,10,10,9,10,4
8,10,9,10,10,9,10,9,10,10,10,9,10,9,10,10,9,10,4
8,10,10,10,10,10,10,9,10,9,10,9,10,10,10,10,10,10,4
8,9,10,10,9,9,9,9,10,10,10,9,9,9,9,10,10,9,4
8,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,4
8,10,9,10,9,10,10,10,10,9,10,10,10,10,9,10,9,10,4
8,10,9,10,10,10,10,10,10,9,10,10,10,10,9,9,9,10,4
8,0,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,0,4
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
